reaction,judgement_time,Time,Dose,lwr,upr,intercept,slope,Mean,Sigma
TD50,180,3,85.691863,72.317589,101.539549,-12.55355,2.820542,4.450758,0.354542
TD50,190,3.166667,76.168647000000007,68.241599,85.016512,-13.708457,3.16377,4.33295,0.316079
TD50,200,3.333333,68.112504,63.392916,73.183465,-15.223189,3.606399,4.221161,0.277285
TD50,210,3.5,64.247599,60.475026,68.255515,-15.670094,3.764366,4.162744,0.265649
TD50,220,3.666667,62.015067,58.353893,65.905945,-14.389943,3.486462,4.127377,0.286824
TD50,230,3.833333,60.016613,56.744076,63.477884,-14.789743,3.611993,4.094621,0.276855
TD50,240,4,58.531558,55.439473,61.796102,-14.712551,3.615263,4.069566,0.276605
TD50,250,4.166667,57.775833,54.60455,61.131294,-13.762669,3.392686,4.056571,0.294752
TD50,260,4.333333,57.29486,54.185991,60.582097,-13.778955,3.403715,4.048211,0.293797
TD50,270,4.5,56.058435,53.118296,59.161312,-13.938363,3.461748,4.026395,0.288871
TD50,280,4.666667,54.476706,51.672273,57.433346,-13.799073,3.45169,3.997773,0.289713
TD50,290,4.833333,53.814619,51.09993,56.673526,-13.99779,3.512139,3.985545,0.284727
TD50,300,5,52.472172,49.90781,55.168296,-14.307885,3.612844,3.960283,0.27679
TD50,310,5.166667,52.085034,49.536755,54.764402,-14.216117,3.596397,3.952878,0.278056
TD50,320,5.333333,51.883816,49.3168,54.584449,-13.96724,3.536899,3.949007,0.282734
TD50,330,5.5,51.487003,48.909952,54.199838,-13.689699,3.473371,3.941329,0.287905
TD50,340,5.666667,51.487003,48.909952,54.199838,-13.689699,3.473371,3.941329,0.287905
TD50,350,5.833333,51.487003,48.909952,54.199838,-13.689699,3.473371,3.941329,0.287905
TD50,360,6,51.087811,48.501188,53.812382,-13.426804,3.41341,3.933546,0.292962
TD50,370,6.166667,50.679285,48.110376,53.385364,-13.360272,3.403442,3.925517,0.29382
TD50,380,6.333333,50.679285,48.110376,53.385364,-13.360272,3.403442,3.925517,0.29382
TD50,390,6.5,50.679285,48.110376,53.385364,-13.360272,3.403442,3.925517,0.29382
TD50,400,6.666667,50.679285,48.110376,53.385364,-13.360272,3.403442,3.925517,0.29382
TD50,410,6.833333,50.437842,47.817284,53.202016,-12.904254,3.291279,3.920742,0.303833
TD50,420,7,50.437842,47.817284,53.202016,-12.904254,3.291279,3.920742,0.303833
TD50,430,7.166667,50.437842,47.817284,53.202016,-12.904254,3.291279,3.920742,0.303833
TD50,440,7.333333,50.213284,47.664119,52.898783,-13.290692,3.393704,3.91628,0.294663
TD50,450,7.5,50.213284,47.664119,52.898783,-13.290692,3.393704,3.91628,0.294663
TD50,460,7.666667,50.017003,47.502649,52.664444,-13.453775,3.438785,3.912363,0.2908
TD50,470,7.833333,50.017003,47.502649,52.664444,-13.453775,3.438785,3.912363,0.2908
TD50,480,8,50.017003,47.502649,52.664444,-13.453775,3.438785,3.912363,0.2908
TD50,490,8.166667,49.801079,47.354725,52.373813,-13.870447,3.549211,3.908037,0.281753
TD50,500,8.333333,49.801079,47.354725,52.373813,-13.870447,3.549211,3.908037,0.281753
TD50,510,8.5,49.801079,47.354725,52.373813,-13.870447,3.549211,3.908037,0.281753
TD50,520,8.666667,49.801079,47.354725,52.373813,-13.870447,3.549211,3.908037,0.281753
TD50,530,8.833333,49.611615,47.198144,52.148499,-14.047339,3.597984,3.904225,0.277933
TD50,540,9,49.611615,47.198144,52.148499,-14.047339,3.597984,3.904225,0.277933
TD50,550,9.166667,49.611615,47.198144,52.148499,-14.047339,3.597984,3.904225,0.277933
TD50,560,9.333333,49.611615,47.198144,52.148499,-14.047339,3.597984,3.904225,0.277933
TD50,570,9.5,49.611615,47.198144,52.148499,-14.047339,3.597984,3.904225,0.277933
TD50,580,9.666667,49.611615,47.198144,52.148499,-14.047339,3.597984,3.904225,0.277933
TD50,590,9.833333,49.611615,47.198144,52.148499,-14.047339,3.597984,3.904225,0.277933
TD50,600,10,49.427553,47.022062,51.9561,-14.03095,3.597211,3.900508,0.277993
LD50,180,3,290.717724,248.009576,340.78037,-16.488027,2.906735,5.672353,0.344029
LD50,190,3.166667,288.718209,243.559193,342.250288,-13.654033,2.410052,5.665451,0.414929
LD50,200,3.333333,262.476629,231.192225,297.994367,-14.555692,2.613154,5.570162,0.382679
LD50,210,3.5,242.823132,217.361673,271.267114,-13.663254,2.487696,5.492333,0.401978
LD50,220,3.666667,227.80085,206.818345,250.912108,-13.670749,2.518342,5.428472,0.397087
LD50,230,3.833333,210.110965,191.832752,230.130762,-12.442353,2.326702,5.347636,0.429793
LD50,240,4,195.759195,180.245046,212.608687,-12.318878,2.334498,5.276885,0.428358
LD50,250,4.166667,182.598014,168.51337,197.859877,-11.609953,2.229559,5.207287,0.448519
LD50,260,4.333333,173.376885,160.605373,187.164002,-11.673703,2.264334,5.155468,0.441631
LD50,270,4.5,167.828434,155.242103,181.435207,-11.17048,2.180481,5.122942,0.458614
LD50,280,4.666667,161.261144,149.904332,173.478352,-11.882266,2.337637,5.083025,0.427782
LD50,290,4.833333,152.424725,141.243225,164.491408,-11.265255,2.241097,5.026671,0.44621
LD50,300,5,149.881979,138.886546,161.747903,-11.309153,2.257384,5.009848,0.442991
LD50,310,5.166667,147.347035,136.368448,159.209473,-11.163286,2.235881,4.992791,0.447251
LD50,320,5.333333,142.638649,131.322868,154.929483,-10.5353,2.123918,4.960314,0.470828
LD50,330,5.5,137.851816,125.596742,151.302677,-9.474867,1.92337,4.926179,0.519921
LD50,340,5.666667,136.802903,124.411521,150.428467,-9.339103,1.898755,4.918541,0.526661
LD50,350,5.833333,135.739044,123.204111,149.549297,-9.204236,1.87431,4.910734,0.53353
LD50,360,6,134.131223,121.646322,147.897483,-9.230982,1.884328,4.898819,0.530693
LD50,370,6.166667,131.692317,119.297729,145.374656,-9.296074,1.90475,4.880468,0.525003
LD50,380,6.333333,128.372621,115.470648,142.716181,-8.899485,1.833079,4.854937,0.54553
LD50,390,6.5,124.152501,110.683525,139.260504,-8.533678,1.769918,4.821511,0.564998
LD50,400,6.666667,120.535518,106.420604,136.522538,-8.169092,1.704755,4.791944,0.586595
LD50,410,6.833333,119.139408,105.159193,134.978201,-8.286651,1.733502,4.780294,0.576867
LD50,420,7,119.139408,105.159193,134.978201,-8.286651,1.733502,4.780294,0.576867
LD50,430,7.166667,116.692244,102.229905,133.200551,-8.041573,1.689569,4.75954,0.591867
LD50,440,7.333333,116.692244,102.229905,133.200551,-8.041573,1.689569,4.75954,0.591867
LD50,450,7.5,113.023383,97.44673,131.089931,-7.499621,1.58635,4.727595,0.630378
LD50,460,7.666667,113.023383,97.44673,131.089931,-7.499621,1.58635,4.727595,0.630378
LD50,470,7.833333,111.702645,95.828397,130.206507,-7.378549,1.564631,4.71584,0.639128
LD50,480,8,110.984367,95.127564,129.484337,-7.407916,1.57301,4.709389,0.635724
LD50,490,8.166667,110.984367,95.127564,129.484337,-7.407916,1.57301,4.709389,0.635724
LD50,500,8.333333,110.984367,95.127564,129.484337,-7.407916,1.57301,4.709389,0.635724
LD50,510,8.5,110.984367,95.127564,129.484337,-7.407916,1.57301,4.709389,0.635724
LD50,520,8.666667,110.984367,95.127564,129.484337,-7.407916,1.57301,4.709389,0.635724
LD50,530,8.833333,110.984367,95.127564,129.484337,-7.407916,1.57301,4.709389,0.635724
LD50,540,9,110.937239,95.451699,128.935065,-7.609132,1.615882,4.708965,0.618857
LD50,550,9.166667,110.937239,95.451699,128.935065,-7.609132,1.615882,4.708965,0.618857
LD50,560,9.333333,110.937239,95.451699,128.935065,-7.609132,1.615882,4.708965,0.618857
LD50,570,9.5,110.937239,95.451699,128.935065,-7.609132,1.615882,4.708965,0.618857
LD50,580,9.666667,110.937239,95.451699,128.935065,-7.609132,1.615882,4.708965,0.618857
LD50,590,9.833333,110.937239,95.451699,128.935065,-7.609132,1.615882,4.708965,0.618857
LD50,600,10,110.937239,95.451699,128.935065,-7.609132,1.615882,4.708965,0.618857
